"","�..linie","richtung","betriebsdatum","fahrzeug","kurs","seq_von","halt_diva_von","halt_punkt_diva_von","halt_kurz_von1","datum_von","soll_an_von","ist_an_von","soll_ab_von","ist_ab_von","seq_nach","halt_diva_nach","halt_punkt_diva_nach","halt_kurz_nach1","datum_nach","soll_an_nach","ist_an_nach1","soll_ab_nach","ist_ab_nach","fahrt_id","fahrweg_id","fw_no","fw_typ","fw_kurz","fw_lang","umlauf_von","halt_id_von","halt_id_nach","halt_punkt_id_von","halt_punkt_id_nach","arrivelate"
"580",62,1,"20.09.15",10521,5,13,888,20,"FRIA","20.09.15",53622,53633,53640,53647,14,2814,20,"WALD","20.09.15",53676,53697,53694,53706,23330,15094,1,1,1,"UAFF - SCHW",93541,2463,2375,5649,5432,21
"581",80,2,"20.09.15",10531,7,25,3451,21,"MOTT","20.09.15",60666,60870,60684,60885,26,3450,21,"CHAL","20.09.15",60714,60926,60732,60934,25168,4825,2,1,2,"TRIS - BOEN",92815,2586,2584,6327,6324,212
"582",33,1,"24.09.15",10168,1,13,1194,10,"HINT","24.09.15",84546,84606,84558,84613,14,2451,10,"SPYR","24.09.15",84594,84650,84606,84658,352931,11671,1,1,1,"BTIE - TRIE",104928,2606,2600,5933,5919,56
"583",5,2,"23.09.15",2088,3,6,199,1,"BEDE","23.09.15",40248,40224,40284,40244,7,3026,0,"ENGE","23.09.15",40344,40318,40374,40364,350134,4520,4,1,4,"LAUB - KFLU",103698,1852,1893,4155,4253,-26
"584",12,1,"23.09.15",3070,3,8,6508,0,"GLIN07","23.09.15",67170,67190,67188,67208,9,6461,1,"GGLA07","23.09.15",67284,67295,67302,67310,46299,1495,1,1,1,"FRAF - BSTE",91371,1379,1931,3038,4351,11
"585",10,1,"23.09.15",3070,3,13,2572,0,"SOER","23.09.15",46530,46640,46572,46661,14,2151,0,"SALE","23.09.15",46638,46735,46662,46744,46291,3747,1,1,1,"FRAF - GESS",91371,1311,2313,2872,5289,97
"586",2,1,"23.09.15",3002,3,14,2396,0,"SIHS","23.09.15",70260,70266,70302,70281,15,1861,0,"PARA","23.09.15",70362,70375,70422,70396,349631,4399,1,1,1,"FARB - BTIE",104474,2657,1528,6066,3390,13
"587",5,1,"23.09.15",2093,1,5,1359,0,"KANT","23.09.15",63930,63900,63960,63924,6,1472,2,"KUNS","23.09.15",64026,64009,64074,64040,350070,4519,3,1,3,"KFLU - LAUB",103687,2571,1305,6279,6126,-17
"588",5,1,"23.09.15",2093,1,10,3026,1,"ENGE","23.09.15",47946,48076,47988,48091,11,199,0,"BEDE","23.09.15",48048,48163,48072,48179,350060,4519,3,1,3,"KFLU - LAUB",103687,1893,1852,4244,4156,115
"589",751,2,"23.09.15",10274,6,4,4,51,"ZOOF","23.09.15",29952,29951,29964,29951,5,2671,51,"TOBE","23.09.15",30042,30045,30054,30057,67499,5043,2,1,2,"KFLU - BSTE",94035,2735,2698,6509,6404,3
"590",17,1,"21.09.15",2047,5,2,592,0,"BAEN","22.09.15",1194,1183,1218,1186,3,1041,0,"GRUN","22.09.15",1254,1247,1278,1250,352056,6737,7,1,7,"WERD - BWIE für Einfahrt",103961,2538,2544,5882,5903,-7
"591",35,1,"22.09.15",10332,2,3,821,20,"FARB","22.09.15",42204,42238,42264,42334,4,1698,20,"NEES","22.09.15",42342,42432,42366,42442,353186,4285,1,1,1,"SOLP - DUNK",104448,1310,2541,2864,5890,90
"592",912,1,"22.09.15",11660,2,3,832,0,"FELD","22.09.15",48054,48122,48084,48132,4,1286,0,"HOES","22.09.15",48126,48216,48156,48235,182191,16384,19,1,19,"OPER - ITFA wenden OPER",96381,2689,2615,6389,5964,90
"593",912,1,"22.09.15",11658,3,5,917,0,"FROE","22.09.15",68898,68942,68928,68949,6,2907,0,"WILD","22.09.15",68958,68989,68982,68996,182223,16384,19,1,19,"OPER - ITFA wenden OPER",97533,2680,2651,6373,6056,31
"594",8,2,"22.09.15",2066,1,9,1861,1,"PARA","22.09.15",64242,64274,64302,64295,10,2582,2,"STOC","22.09.15",64368,64380,64410,64398,407480,4596,2,1,2,"KLUS - HARP",105819,1528,2414,3387,5539,12
