,linie,richtung,betriebsdatum,fahrzeug,kurs,seq_von,halt_diva_von,halt_punkt_diva_von,halt_kurz_von1,datum_von,soll_an_von,ist_an_von,soll_ab_von,ist_ab_von,seq_nach,halt_diva_nach,halt_punkt_diva_nach,halt_kurz_nach1,datum_nach,soll_an_nach,ist_an_nach1,soll_ab_nach,ist_ab_nach,fahrt_id,fahrweg_id,fw_no,fw_typ,fw_kurz,fw_lang,umlauf_von,halt_id_von,halt_id_nach,halt_punkt_id_von,halt_punkt_id_nach,arrivelate
5715,9,1,25.09.15,2086,4,6,2294,0,SCHW,25.09.15,50700,50689,50742,50718,7,2326,0,SCHO,25.09.15,50802,50837,50826,50846,366246,5112,1,1,1,HIRZ - HEUR,103607,1501,2046,9150,4640,35
5716,6,2,25.09.15,2115,6,1,1334,0,IRCH,25.09.15,20832,20820,20832,20823,2,1507,0,LANM,25.09.15,20874,20897,20892,20899,365663,9867,8,1,8,IRCH - ZOO f??r Ausfahrt,103743,1543,2315,3463,5295,23
5717,31,2,24.09.15,10068,9,8,412,11,BPLA,24.09.15,83094,83167,83124,83184,9,1608,1,LOEW,24.09.15,83178,83246,83202,83259,49777,11777,2,1,2,HEGI - SZEN,91892,1541,2256,3453,5130,68
5718,31,1,24.09.15,10061,11,22,1724,0,NEUM,24.09.15,21210,21180,21234,21188,23,1472,10,KUNS,24.09.15,21282,21233,21324,21283,49815,11819,1,1,1,SZEN - HEGI,91813,2641,1305,9144,6131,-49
5719,9,1,24.09.15,2099,3,4,1590,0,LUEG,24.09.15,20340,20373,20370,20392,5,1139,0,HEER,24.09.15,20406,20443,20430,20459,350902,5112,1,1,1,HIRZ - HEUR,104310,2729,2812,6498,6706,37
5720,6,1,24.09.15,3055,3,8,736,0,ETHZ,24.09.15,57468,57500,57510,57532,9,1100,0,HEGG,24.09.15,57582,57624,57612,57643,350501,4558,1,1,1,ZOO - ENGE,103354,1308,2302,2844,5261,42
5721,6,1,24.09.15,2101,4,2,2618,0,SUSE,24.09.15,39294,39332,39318,39341,3,3045,0,ZUER,24.09.15,39366,39393,39390,39405,350518,4558,1,1,1,ZOO - ENGE,103211,2567,2791,6270,6652,27
5722,6,2,24.09.15,3055,3,7,416,1,BSTR,24.09.15,63438,63507,63486,63533,8,619,5,CENT,24.09.15,63612,63651,63660,63677,350504,4559,2,1,2,ENGE - ZOO,103354,1895,1938,4260,9133,39
5723,2,1,24.09.15,2075,8,13,2556,0,STAU,24.09.15,57942,57934,58032,57976,14,2396,0,SIHS,24.09.15,58110,58087,58152,58111,349840,4399,1,1,1,FARB - BTIE,104598,1502,2657,3312,6066,-23
5724,40,1,24.09.15,10335,1,3,3706,20,AHOS,24.09.15,78708,79033,78738,79033,4,1611,20,MAIE,24.09.15,78798,79081,78816,79081,50130,12382,1,1,1,GLAU - BUCH,91918,2566,2573,6266,6292,283
5725,33,1,24.09.15,10539,4,23,799,10,EWYS,24.09.15,38274,38249,38286,38259,24,6759,10,SBAU,24.09.15,38322,38296,38334,38311,352994,11671,1,1,1,BTIE - TRIE,104735,1574,2893,3575,6998,-26
5726,33,2,24.09.15,10539,4,21,471,11,BETH,24.09.15,35328,35419,35340,35442,22,2673,11,TOBL,24.09.15,35376,35514,35388,35540,352993,11890,2,1,2,TRIE - BTIE,104735,2656,2701,6064,6417,138
5727,46,2,24.09.15,10158,4,17,944,11,GEER,24.09.15,28086,28155,28110,28164,18,2140,10,RUET,24.09.15,28146,28211,28146,28363,353399,11466,2,1,2,BQUA - RUET,103859,2198,2821,5016,6734,65
5728,46,2,24.09.15,10158,4,16,1156,11,HEIZ,24.09.15,40212,40266,40230,40269,17,944,11,GEER,24.09.15,40296,40338,40320,40351,353407,11466,2,1,2,BQUA - RUET,103859,1454,2198,3215,5016,42
5729,165,1,23.09.15,10560,14,20,6447,50,LRAI,23.09.15,32616,32657,32628,32668,21,6448,50,EGGR,23.09.15,32658,32708,32670,32716,58681,9023,1,1,1,BURK - RPAR,93862,1552,1553,3488,3490,50
5730,3,1,23.09.15,3001,1,19,2124,0,ROEM,23.09.15,55932,56096,55968,56112,20,1278,0,HOEL,23.09.15,56010,56170,56034,56180,44798,4448,1,1,1,ALBR - KLUS,92757,1531,1406,6145,6114,160
5731,7,2,23.09.15,2110,13,31,2575,2,BSTE,23.09.15,79122,79268,79140,79282,32,2575,0,BSTE,23.09.15,79152,79357,79152,79708,74799,27,2,1,2,WOLL - BSTE,93717,2316,2316,5308,5298,205
5732,7,1,23.09.15,2119,1,2,1620,0,MATT,23.09.15,63198,63197,63228,63212,3,2008,0,PROB,23.09.15,63264,63274,63288,63292,75305,26,1,1,1,BSTE - WOLL,91425,2356,2489,5391,5714,10
5733,7,1,23.09.15,2113,2,21,2582,0,STOC,23.09.15,30354,30345,30396,30361,22,2689,0,TUNN,23.09.15,30432,30413,30462,30425,75319,26,1,1,1,BSTE - WOLL,91973,2414,2508,5532,5753,-19
5734,78,1,23.09.15,10332,4,6,716,20,DUNK,23.09.15,77844,77850,77868,77852,7,2152,20,SALZ,23.09.15,77904,77883,77916,77892,364617,4270,3,1,3,FARB - BAEN,103087,2532,2546,5861,5906,-21
5735,67,1,23.09.15,10608,3,9,2147,20,SACK,23.09.15,45240,45309,45252,45317,10,1503,20,LANG,23.09.15,45306,45367,45330,45378,51739,4779,11,1,11,DUNK - SWIE (Aufenthalt),93169,2829,2862,9349,6826,61
5736,7,2,23.09.15,2103,6,10,2689,1,TUNN,23.09.15,57384,57349,57408,57360,11,2582,1,STOC,23.09.15,57456,57426,57486,57450,74623,27,2,1,2,WOLL - BSTE,92346,2508,2414,5752,5534,-30
5737,7,2,23.09.15,2121,7,9,3026,1,ENGE,23.09.15,80364,80393,80394,80410,10,2689,1,TUNN,23.09.15,80442,80468,80466,80479,74653,27,2,1,2,WOLL - BSTE,92604,1893,2508,4244,5752,26
5738,7,1,23.09.15,2121,7,30,586,0,BUTZ,23.09.15,68346,68289,68364,68334,31,2950,0,WOLL,23.09.15,68424,68403,68424,68809,74648,26,1,1,1,BSTE - WOLL,92604,2488,2145,5708,4919,-21
5739,11,1,22.09.15,2018,12,3,6460,0,ZFER,22.09.15,53472,53451,53490,53464,4,6461,0,GGLA07,22.09.15,53532,53518,53550,53530,352275,11240,1,1,1,ZAUZ - REHA,104185,1928,1931,4343,4352,-14
5740,11,2,22.09.15,2018,12,12,615,1,BURK,22.09.15,77376,77445,77430,77455,13,601,1,BOES,22.09.15,77466,77543,77496,77555,352282,11235,2,1,2,REHA - ZAUZ,104185,2590,2228,6339,6210,77
5741,80,1,22.09.15,10413,3,21,1570,21,LIND,22.09.15,73254,73630,73296,73653,22,2034,20,RAUT,22.09.15,73356,73730,73386,73747,436135,4824,1,1,1,BOEN - TRIS,106423,2535,2543,5866,5898,374
5742,302,1,22.09.15,11424,2,3,1556,51,LIMB,22.09.15,50814,50854,50832,50865,4,815,51,FAAU,22.09.15,50880,50924,50898,50934,436374,50,1,1,1,BDIE - BWEI,106263,2378,2389,5445,5467,44
5743,308,2,22.09.15,10548,6,26,6015,20,WINS,22.09.15,66672,66975,66684,66995,27,1231,20,HOHE,22.09.15,66714,67031,66726,67031,436541,101,2,1,2,OBUR - BALN,106270,2695,2841,6401,6772,317
5744,13,1,22.09.15,3016,7,6,2306,0,SCHT,22.09.15,39636,39618,39654,39629,7,67,0,ATRO,22.09.15,39702,39680,39720,39693,46877,5232,1,1,1,FRAN - ALBG,91381,2804,2853,6680,6806,-22
5745,13,2,22.09.15,3016,7,22,2800,1,WAIF,22.09.15,49320,49369,49344,49384,23,800,1,EGUT,22.09.15,49392,49439,49416,49452,46880,5233,2,1,2,ALBG - FRAN,91381,2614,2635,5958,6013,47
5746,15,2,21.09.15,2051,6,4,788,1,ENGV,21.09.15,75660,75546,75684,75555,5,1453,1,KREU,21.09.15,75744,75627,75768,75645,351740,4625,2,1,2,KLUS - BUCH,104459,2779,2084,6613,9279,-117
5747,13,1,21.09.15,3010,3,3,2831,0,WART,21.09.15,70872,70884,70902,70888,4,3015,0,ZWIE,21.09.15,70944,70948,70980,70958,47093,5232,1,1,1,FRAN - ALBG,91644,2671,2731,6099,6502,4
5748,13,2,21.09.15,2065,4,14,413,1,BQUA,21.09.15,41874,41913,41934,41949,15,2395,1,SIHL,21.09.15,42018,42066,42054,42084,47111,5233,2,1,2,ALBG - FRAN,91839,1542,2289,3454,5225,48
5749,13,2,21.09.15,3010,3,22,2800,1,WAIF,21.09.15,58320,58288,58344,58306,23,800,1,EGUT,21.09.15,58392,58371,58416,58381,47088,5233,2,1,2,ALBG - FRAN,91644,2614,2635,5958,6013,-21
